WL	WN	Time	Start	
573.355000	34882.402700	2079052631.000000	0.026868	
573.360000	34882.098507	2079056359.000000	0.027118	
573.365000	34881.794319	2079060516.000000	0.027503	
573.370000	34881.490137	2079064265.000000	0.028967	
573.375000	34881.185960	2079068514.000000	0.027273	
573.380000	34880.881789	2079072231.000000	0.027994	
573.385000	34880.577622	2079075729.000000	0.026051	
573.390000	34880.273461	2079079850.000000	0.032530	
573.395000	34879.969306	2079083877.000000	0.031187	
573.400000	34879.665155	2079087440.000000	0.032560	
573.405000	34879.361010	2079091578.000000	0.039693	
573.410000	34879.056870	2079095393.000000	0.038619	
573.415000	34878.752736	2079099285.000000	0.046275	
573.420000	34878.448607	2079103492.000000	0.042332	
573.425000	34878.144483	2079107423.000000	0.044141	
573.430000	34877.840364	2079111293.000000	0.046692	
573.435000	34877.536251	2079114876.000000	0.042524	
573.440000	34877.232143	2079118922.000000	0.040641	
573.445000	34876.928040	2079122786.000000	0.036729	
573.450000	34876.623943	2079126878.000000	0.041204	
573.455000	34876.319851	2079131172.000000	0.035146	
573.460000	34876.015764	2079134788.000000	0.039776	
573.465000	34875.711682	2079138784.000000	0.035013	
573.470000	34875.407606	2079142723.000000	0.043699	
573.475000	34875.103535	2079146998.000000	0.051337	
573.480000	34874.799470	2079150891.000000	0.053750	
573.485000	34874.495410	2079154694.000000	0.063777	
573.490000	34874.191355	2079158876.000000	0.065002	
573.495000	34873.887305	2079163051.000000	0.068490	
573.500000	34873.583261	2079166865.000000	0.067284	
573.505000	34873.279222	2079170795.000000	0.071722	
573.510000	34872.975188	2079174778.000000	0.066943	
573.515000	34872.671159	2079178750.000000	0.059436	
573.520000	34872.367136	2079182925.000000	0.062243	
573.525000	34872.063118	2079186831.000000	0.052997	
573.530000	34871.759106	2079190543.000000	0.048814	
573.535000	34871.455099	2079194431.000000	0.039906	
573.540000	34871.151097	2079197900.000000	0.036841	
573.545000	34870.847100	2079201573.000000	0.039008	
573.550000	34870.543109	2079205143.000000	0.029962	
573.555000	34870.239123	2079208947.000000	0.030724	
573.560000	34869.935142	2079212816.000000	0.032131	
573.565000	34869.631166	2079216959.000000	0.032878	
573.570000	34869.327196	2079220807.000000	0.027979	
573.575000	34869.023231	2079224680.000000	0.027083	
573.580000	34868.719272	2079228686.000000	0.030583	
573.585000	34868.415318	2079232791.000000	0.030618	
573.590000	34868.111369	2079236628.000000	0.029447	
573.595000	34867.807425	2079240593.000000	0.025142	
573.600000	34867.503487	2079244392.000000	0.026368	
573.605000	34867.199554	2079248600.000000	0.026248	
573.610000	34866.895626	2079252539.000000	0.027204	
573.615000	34866.591703	2079256415.000000	0.027305	
573.620000	34866.287786	2079260486.000000	0.025950	
573.625000	34865.983874	2079264587.000000	0.025879	
573.630000	34865.679968	2079268661.000000	0.025602	
573.635000	34865.376067	2079272519.000000	0.030651	
573.640000	34865.072171	2079276612.000000	0.029073	
573.645000	34864.768280	2079280954.000000	0.029540	
573.650000	34864.464395	2079284828.000000	0.025639	
573.655000	34864.160515	2079288606.000000	0.031789	
573.660000	34863.856640	2079292292.000000	0.028473	
573.665000	34863.552770	2079296146.000000	0.038335	
573.670000	34863.248906	2079299992.000000	0.047205	
573.675000	34862.945047	2079303620.000000	0.039339	
573.680000	34862.641194	2079307579.000000	0.042317	
573.685000	34862.337345	2079311243.000000	0.043378	
573.690000	34862.033502	2079315446.000000	0.038495	
573.695000	34861.729665	2079319527.000000	0.039390	
573.700000	34861.425832	2079323387.000000	0.041828	
573.705000	34861.122005	2079327268.000000	0.046418	
573.710000	34860.818183	2079330775.000000	0.038937	
573.715000	34860.514367	2079334503.000000	0.038840	
573.720000	34860.210556	2079338555.000000	0.027981	
573.725000	34859.906750	2079342620.000000	0.037412	
573.730000	34859.602949	2079346892.000000	0.028004	
573.735000	34859.299154	2079350787.000000	0.028125	
